"OID","Country or Area","Year","Description","Magnitude","Value"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","50.2333"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","76.4092"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","48.74"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE","AFGHANIS","50.2333"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE","AFGHANIS","0.0130874"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE","AFGHANIS","0.020517"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE","AFGHANIS","77.4621"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","50.25"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","80.3097"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","52.14"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.0124518"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.0191791"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","50.25"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.0127853"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.020202"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","49.5"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.020202"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","79.4002"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.020202"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","49.962"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","78.57"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","49.72"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0127275"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0130764"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0201126"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","76.4743"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","49.962"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0201126"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0200153"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","49.72"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0200153"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","49.9253"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","49.85"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","74.9943"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0133343"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","49.9253"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0200303"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0136145"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","73.4523"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0200602"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","49.85"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0200303"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0200602"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","49.4946"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","50.41"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","72.0495"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0138793"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","49.4946"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0202057"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","73.1197"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0136772"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0198373"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0202057"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","50.41"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0198373"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","47.8453"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","48.22"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","74.8861"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE","AFGHANIS","0.0133536"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE","AFGHANIS","47.8453"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE","AFGHANIS","0.0209334"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE","AFGHANIS","0.0141349"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE","AFGHANIS","70.8577"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE","AFGHANIS","0.0207383"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE","AFGHANIS","48.22"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE","AFGHANIS","0.0209334"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2004","PRINCIPAL RATE","AFGHANIS","0.0207383"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","48.7628"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","72.6119"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","48.865"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE","AFGHANIS","0.0137718"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE","AFGHANIS","0.0146116"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE","AFGHANIS","68.296"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE","AFGHANIS","0.0204647"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE","AFGHANIS","48.7628"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE","AFGHANIS","0.0204645"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE","AFGHANIS","0.0204647"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE","AFGHANIS","48.865"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2003","PRINCIPAL RATE","AFGHANIS","0.0204645"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","47.263"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","47.263"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","64.255"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE","AFGHANIS","0.015563"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE","AFGHANIS","47.263"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE","AFGHANIS","0.0211582"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE","AFGHANIS","0.0250811"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE","AFGHANIS","47.263"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE","AFGHANIS","0.0211582"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE","AFGHANIS","0.0250811"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE","AFGHANIS","61.1986"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2002","PRINCIPAL RATE","AFGHANIS","0.0193699"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","47.5"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","47.259"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","59.3918"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE","AFGHANIS","47.5"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE","AFGHANIS","0.0168373"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE","AFGHANIS","0.0167157"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE","AFGHANIS","0.0131306"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE","AFGHANIS","60.4693"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE","AFGHANIS","0.02116"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE","AFGHANIS","47.259"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE","AFGHANIS","0.0167157"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2001","PRINCIPAL RATE","AFGHANIS","0.02116"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2000","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","47.3576"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2000","PRINCIPAL RATE","AFGHANIS","0.0163387"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2000","PRINCIPAL RATE","AFGHANIS","62.4546"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2000","PRINCIPAL RATE","AFGHANIS","0.0123892"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2000","PRINCIPAL RATE","AFGHANIS","0.0161565"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2000","PRINCIPAL RATE","AFGHANIS","47.3576"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2000","PRINCIPAL RATE","AFGHANIS","0.0163387"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2000","PRINCIPAL RATE","AFGHANIS","47.5048"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2000","PRINCIPAL RATE","AFGHANIS","0.0210505"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","46.6195"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","46.7911"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","64.2213"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE","AFGHANIS","0.0155712"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE","AFGHANIS","46.6195"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE","AFGHANIS","63.7437"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE","AFGHANIS","0.0213716"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE","AFGHANIS","46.7911"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE","AFGHANIS","0.0213716"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE","AFGHANIS","0.0222537"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE","AFGHANIS","0.0162754"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","1999","PRINCIPAL RATE","AFGHANIS","0.0222537"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","47.5"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","66.8814"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","47.5"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE","AFGHANIS","47.5"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE","AFGHANIS","0.0210526"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE","AFGHANIS","0.333328"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE","AFGHANIS","47.5"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE","AFGHANIS","0.0210526"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE","AFGHANIS","64.4358"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE","AFGHANIS","0.245719"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE","AFGHANIS","0.0149518"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","1998","PRINCIPAL RATE","AFGHANIS","0.333328"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","47.5"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","64.0894"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","47.5"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE","AFGHANIS","47.5"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE","AFGHANIS","0.0210526"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE","AFGHANIS","0.33333"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE","AFGHANIS","47.5"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE","AFGHANIS","0.0210526"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE","AFGHANIS","65.3608"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE","AFGHANIS","0.242243"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE","AFGHANIS","0.0156032"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","1997","PRINCIPAL RATE","AFGHANIS","0.33333"
"914..RF.ZF...","ALBANIA","2009","MARKET RATE, PERIOD AVERAGE","LEKS","94.9781"
"914..AA.ZF...","ALBANIA","2009","MARKET RATE, END OF PERIOD","LEKS","150.2"
"914..AE.ZF...","ALBANIA","2009","MARKET RATE, END OF PERIOD","LEKS","95.81"
"914..AF.ZF...","ALBANIA","2009","MARKET RATE","LEKS","94.9781"
"914..AC.ZF...","ALBANIA","2009","MARKET RATE","LEKS","0.00665777"
"914..RH.ZF...","ALBANIA","2009","MARKET RATE","LEKS","0.0105405"
"914..RB.ZF...","ALBANIA","2009","MARKET RATE","LEKS","146.461"
"914..RD.ZF...","ALBANIA","2009","MARKET RATE","LEKS","0.0068354"
"914..AG.ZF...","ALBANIA","2009","MARKET RATE","LEKS","0.0104373"
"914..AH.ZF...","ALBANIA","2009","MARKET RATE","LEKS","0.0105405"
"914..DE.ZF...","ALBANIA","2009","MARKET RATE","LEKS","95.81"
"914..DG.ZF...","ALBANIA","2009","MARKET RATE","LEKS","0.0104373"
"914..RF.ZF...","ALBANIA","2008","MARKET RATE, PERIOD AVERAGE","LEKS","83.8946"
"914..AE.ZF...","ALBANIA","2008","MARKET RATE, END OF PERIOD","LEKS","87.91"
"914..AA.ZF...","ALBANIA","2008","MARKET RATE, END OF PERIOD","LEKS","135.405"
"914..AC.ZF...","ALBANIA","2008","MARKET RATE","LEKS","0.00738524"
"914..AG.ZF...","ALBANIA","2008","MARKET RATE","LEKS","0.0113753"
"914..AF.ZF...","ALBANIA","2008","MARKET RATE","LEKS","83.8946"
"914..RD.ZF...","ALBANIA","2008","MARKET RATE","LEKS","0.00758261"
"914..RH.ZF...","ALBANIA","2008","MARKET RATE","LEKS","0.0119813"
"914..RB.ZF...","ALBANIA","2008","MARKET RATE","LEKS","132.562"
"914..DG.ZF...","ALBANIA","2008","MARKET RATE","LEKS","0.0113753"
"914..DE.ZF...","ALBANIA","2008","MARKET RATE","LEKS","87.91"
"914..AH.ZF...","ALBANIA","2008","MARKET RATE","LEKS","0.0119813"
"914..RF.ZF...","ALBANIA","2007","MARKET RATE, PERIOD AVERAGE","LEKS","90.4279"
"914..AA.ZF...","ALBANIA","2007","MARKET RATE, END OF PERIOD","LEKS","130.987"
"914..AE.ZF...","ALBANIA","2007","MARKET RATE, END OF PERIOD","LEKS","82.89"
"914..AC.ZF...","ALBANIA","2007","MARKET RATE","LEKS","0.00763435"
"914..AF.ZF...","ALBANIA","2007","MARKET RATE","LEKS","90.4279"
"914..AG.ZF...","ALBANIA","2007","MARKET RATE","LEKS","0.0120642"
"914..AH.ZF...","ALBANIA","2007","MARKET RATE","LEKS","0.0110854"
"914..DE.ZF...","ALBANIA","2007","MARKET RATE","LEKS","82.89"
"914..DG.ZF...","ALBANIA","2007","MARKET RATE","LEKS","0.0120642"
"914..RB.ZF...","ALBANIA","2007","MARKET RATE","LEKS","138.413"
"914..RD.ZF...","ALBANIA","2007","MARKET RATE","LEKS","0.00724227"
"914..RH.ZF...","ALBANIA","2007","MARKET RATE","LEKS","0.0110854"
"914..RF.ZF...","ALBANIA","2006","MARKET RATE, PERIOD AVERAGE","LEKS","98.1034"
"914..AE.ZF...","ALBANIA","2006","MARKET RATE, END OF PERIOD","LEKS","94.14"
"914..AA.ZF...","ALBANIA","2006","MARKET RATE, END OF PERIOD","LEKS","141.624"
"914..AC.ZF...","ALBANIA","2006","MARKET RATE","LEKS","0.00706094"
"914..AF.ZF...","ALBANIA","2006","MARKET RATE","LEKS","98.1034"
"914..DG.ZF...","ALBANIA","2006","MARKET RATE","LEKS","0.0106225"
"914..DE.ZF...","ALBANIA","2006","MARKET RATE","LEKS","94.14"
"914..AH.ZF...","ALBANIA","2006","MARKET RATE","LEKS","0.0102008"
"914..AG.ZF...","ALBANIA","2006","MARKET RATE","LEKS","0.0106225"
"914..RH.ZF...","ALBANIA","2006","MARKET RATE","LEKS","0.0102008"
"914..RB.ZF...","ALBANIA","2006","MARKET RATE","LEKS","144.334"
"914..RD.ZF...","ALBANIA","2006","MARKET RATE","LEKS","0.00693348"
"914..RF.ZF...","ALBANIA","2005","MARKET RATE, PERIOD AVERAGE","LEKS","99.8703"
"914..AE.ZF...","ALBANIA","2005","MARKET RATE, END OF PERIOD","LEKS","103.58"
"914..AA.ZF...","ALBANIA","2005","MARKET RATE, END OF PERIOD","LEKS","148.044"
"914..AC.ZF...","ALBANIA","2005","MARKET RATE","LEKS","0.00675476"
"914..AG.ZF...","ALBANIA","2005","MARKET RATE","LEKS","0.00965437"
"914..AF.ZF...","ALBANIA","2005","MARKET RATE","LEKS","99.8703"
"914..AH.ZF...","ALBANIA","2005","MARKET RATE","LEKS","0.0100199"
"914..DE.ZF...","ALBANIA","2005","MARKET RATE","LEKS","103.58"
"914..DG.ZF...","ALBANIA","2005","MARKET RATE","LEKS","0.00965437"
"914..RB.ZF...","ALBANIA","2005","MARKET RATE","LEKS","147.541"
"914..RD.ZF...","ALBANIA","2005","MARKET RATE","LEKS","0.00678246"
"914..RH.ZF...","ALBANIA","2005","MARKET RATE","LEKS","0.0100199"
"914..RF.ZF...","ALBANIA","2004","MARKET RATE, PERIOD AVERAGE","LEKS","102.78"
"914..AE.ZF...","ALBANIA","2004","MARKET RATE, END OF PERIOD","LEKS","92.64"
"914..AA.ZF...","ALBANIA","2004","MARKET RATE, END OF PERIOD","LEKS","143.871"
"914..AC.ZF...","ALBANIA","2004","MARKET RATE","LEKS","0.00695068"
"914..AF.ZF...","ALBANIA","2004","MARKET RATE","LEKS","102.78"
"914..AG.ZF...","ALBANIA","2004","MARKET RATE","LEKS","0.0107945"
"914..AH.ZF...","ALBANIA","2004","MARKET RATE","LEKS","0.00974167"
"914..RD.ZF...","ALBANIA","2004","MARKET RATE","LEKS","0.00657787"
"914..RB.ZF...","ALBANIA","2004","MARKET RATE","LEKS","152.215"
"914..DG.ZF...","ALBANIA","2004","MARKET RATE","LEKS","0.0107945"
"914..DE.ZF...","ALBANIA","2004","MARKET RATE","LEKS","92.64"
"914..RH.ZF...","ALBANIA","2004","MARKET RATE","LEKS","0.00974167"
"914..RF.ZF...","ALBANIA","2003","MARKET RATE, PERIOD AVERAGE","LEKS","121.863"
"914..AA.ZF...","ALBANIA","2003","MARKET RATE, END OF PERIOD","LEKS","158.375"
"914..AE.ZF...","ALBANIA","2003","MARKET RATE, END OF PERIOD","LEKS","106.58"
"914..AC.ZF...","ALBANIA","2003","MARKET RATE","LEKS","0.00631414"
"914..AF.ZF...","ALBANIA","2003","MARKET RATE","LEKS","121.863"
"914..AG.ZF...","ALBANIA","2003","MARKET RATE","LEKS","0.00938262"
"914..AH.ZF...","ALBANIA","2003","MARKET RATE","LEKS","0.00823107"
"914..DE.ZF...","ALBANIA","2003","MARKET RATE","LEKS","106.58"
"914..DG.ZF...","ALBANIA","2003","MARKET RATE","LEKS","0.00938262"
"914..RB.ZF...","ALBANIA","2003","MARKET RATE","LEKS","170.679"
"914..RD.ZF...","ALBANIA","2003","MARKET RATE","LEKS","0.00587691"
"914..RH.ZF...","ALBANIA","2003","MARKET RATE","LEKS","0.00823107"
"914..RF.ZF...","ALBANIA","2002","MARKET RATE, PERIOD AVERAGE","LEKS","140.155"
"914..AE.ZF...","ALBANIA","2002","MARKET RATE, END OF PERIOD","LEKS","133.74"
"914..AA.ZF...","ALBANIA","2002","MARKET RATE, END OF PERIOD","LEKS","181.822"
"914..AC.ZF...","ALBANIA","2002","MARKET RATE","LEKS","0.00549988"
"914..AG.ZF...","ALBANIA","2002","MARKET RATE","LEKS","0.00747719"
"914..AF.ZF...","ALBANIA","2002","MARKET RATE","LEKS","140.155"
"914..RB.ZF...","ALBANIA","2002","MARKET RATE","LEKS","181.479"
"914..DG.ZF...","ALBANIA","2002","MARKET RATE","LEKS","0.00747719"
"914..DE.ZF...","ALBANIA","2002","MARKET RATE","LEKS","133.74"
"914..AH.ZF...","ALBANIA","2002","MARKET RATE","LEKS","0.00713797"
"914..RD.ZF...","ALBANIA","2002","MARKET RATE","LEKS","0.00551258"
"914..RH.ZF...","ALBANIA","2002","MARKET RATE","LEKS","0.00713797"
"914..RF.ZF...","ALBANIA","2001","MARKET RATE, PERIOD AVERAGE","LEKS","143.485"
"914..AE.ZF...","ALBANIA","2001","MARKET RATE, END OF PERIOD","LEKS","136.55"
"914..AA.ZF...","ALBANIA","2001","MARKET RATE, END OF PERIOD","LEKS","171.606"
"914..AC.ZF...","ALBANIA","2001","MARKET RATE","LEKS","0.00582729"
"914..AF.ZF...","ALBANIA","2001","MARKET RATE","LEKS","143.485"
"914..AG.ZF...","ALBANIA","2001","MARKET RATE","LEKS","0.00732332"
"914..AH.ZF...","ALBANIA","2001","MARKET RATE","LEKS","0.00697277"
"914..DE.ZF...","ALBANIA","2001","MARKET RATE","LEKS","136.55"
"914..DG.ZF...","ALBANIA","2001","MARKET RATE","LEKS","0.00732332"
"914..RB.ZF...","ALBANIA","2001","MARKET RATE","LEKS","182.662"
"914..RD.ZF...","ALBANIA","2001","MARKET RATE","LEKS","0.00547727"
"914..RH.ZF...","ALBANIA","2001","MARKET RATE","LEKS","0.00697277"
"914..RF.ZF...","ALBANIA","2000","MARKET RATE, PERIOD AVERAGE","LEKS","143.709"
"914..AE.ZF...","ALBANIA","2000","MARKET RATE, END OF PERIOD","LEKS","142.64"
"914..AA.ZF...","ALBANIA","2000","MARKET RATE, END OF PERIOD","LEKS","185.847"
"914..AC.ZF...","ALBANIA","2000","MARKET RATE","LEKS","0.00538077"
"914..AF.ZF...","ALBANIA","2000","MARKET RATE","LEKS","143.709"
"914..AH.ZF...","ALBANIA","2000","MARKET RATE","LEKS","0.00696388"
"914..AG.ZF...","ALBANIA","2000","MARKET RATE","LEKS","0.00701066"
"914..RD.ZF...","ALBANIA","2000","MARKET RATE","LEKS","0.00528051"
"914..RB.ZF...","ALBANIA","2000","MARKET RATE","LEKS","189.522"
"914..DG.ZF...","ALBANIA","2000","MARKET RATE","LEKS","0.00701066"
"914..DE.ZF...","ALBANIA","2000","MARKET RATE","LEKS","142.64"
"914..RH.ZF...","ALBANIA","2000","MARKET RATE","LEKS","0.00696388"
