,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_leaf_size,param_metric,param_n_neighbors,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,42.252888321876526,102.980224609375,0.6324728622950238,0.7562286357689556,auto,5,euclidean,5,uniform,"{'metric': 'euclidean', 'leaf_size': 5, 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}",25,0.5941443655507719,0.7680609265718735,0.6708022669801432,0.7443963449660376,3.807552456855774,8.686274766921997,0.038328950711997246,0.011832290802917977
1,37.95482301712036,103.32412040233612,0.6193585256512754,0.9999526233347813,auto,5,euclidean,5,distance,"{'metric': 'euclidean', 'leaf_size': 5, 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",29,0.5700301427784654,0.9999170905903743,0.6686880770346857,0.9999881560791885,13.047715902328491,7.2293936014175415,0.04932896712465015,3.5532744407096306e-05
2,41.42958474159241,132.54533314704895,0.6482195415163952,0.7294788281384081,auto,5,euclidean,10,uniform,"{'metric': 'euclidean', 'leaf_size': 5, 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 10}",17,0.6220427210223672,0.7416779680088121,0.6743969820974897,0.7172796882680043,10.68984580039978,7.80990743637085,0.026177130535725124,0.012199139870403941
3,43.00329780578613,133.16898596286774,0.6359905484392488,0.9999526233347813,auto,5,euclidean,10,distance,"{'metric': 'euclidean', 'leaf_size': 5, 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 10}",21,0.5968921551790505,0.9999170905903743,0.6750898678779337,0.9999881560791885,5.749783754348755,7.845882534980774,0.03909885634669917,3.5532744407096306e-05
4,25.14067506790161,255.52928817272186,0.6608601157164768,0.708399385623207,auto,5,euclidean,50,uniform,"{'metric': 'euclidean', 'leaf_size': 5, 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 50}",5,0.6444395752769997,0.7227272458086331,0.6772810451323293,0.694071525437781,1.6886675357818604,14.823773980140686,0.01642073492651306,0.014327860185426089
5,34.38050889968872,252.36569035053253,0.6564926181889246,0.9999526233347813,auto,5,euclidean,50,distance,"{'metric': 'euclidean', 'leaf_size': 5, 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 50}",13,0.6368061683139586,0.9999170905903743,0.6761795344044439,0.9999881560791885,5.252901554107666,15.170451045036316,0.019686683043861782,3.5532744407096306e-05
6,24.13829481601715,339.83087682724,0.664022480027952,0.7044671584624762,auto,5,euclidean,100,uniform,"{'metric': 'euclidean', 'leaf_size': 5, 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 100}",1,0.6521144359628811,0.7188897245630971,0.6759308061755666,0.6900445923618554,2.5550471544265747,15.54230546951294,0.011908185105507478,0.014422566100620815
7,30.56613039970398,342.0362206697464,0.6608482716553852,0.9999526233347813,auto,5,euclidean,100,distance,"{'metric': 'euclidean', 'leaf_size': 5, 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 100}",9,0.6464767296565855,0.9999170905903743,0.6752201540930599,0.9999881560791885,6.650528192520142,26.00260031223297,0.014371712217229143,3.5532744407096306e-05
8,23.20590043067932,100.62245953083038,0.6324728622950238,0.7562286357689556,auto,5,minkowski,5,uniform,"{'metric': 'minkowski', 'leaf_size': 5, 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}",25,0.5941443655507719,0.7680609265718735,0.6708022669801432,0.7443963449660376,1.6436469554901123,6.337274432182312,0.038328950711997246,0.011832290802917977
9,23.71989941596985,99.20208013057709,0.6193585256512754,0.9999526233347813,auto,5,minkowski,5,distance,"{'metric': 'minkowski', 'leaf_size': 5, 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",29,0.5700301427784654,0.9999170905903743,0.6686880770346857,0.9999881560791885,1.9530630111694336,5.50838029384613,0.04932896712465015,3.5532744407096306e-05
10,22.847665071487427,133.0236109495163,0.6482195415163952,0.7294788281384081,auto,5,minkowski,10,uniform,"{'metric': 'minkowski', 'leaf_size': 5, 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 10}",17,0.6220427210223672,0.7416779680088121,0.6743969820974897,0.7172796882680043,2.3651416301727295,9.248793244361877,0.026177130535725124,0.012199139870403941
11,24.035521030426025,132.4186440706253,0.6359905484392488,0.9999526233347813,auto,5,minkowski,10,distance,"{'metric': 'minkowski', 'leaf_size': 5, 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 10}",21,0.5968921551790505,0.9999170905903743,0.6750898678779337,0.9999881560791885,2.5554986000061035,8.721554160118103,0.03909885634669917,3.5532744407096306e-05
12,25.42658770084381,258.6149901151657,0.6608601157164768,0.708399385623207,auto,5,minkowski,50,uniform,"{'metric': 'minkowski', 'leaf_size': 5, 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 50}",5,0.6444395752769997,0.7227272458086331,0.6772810451323293,0.694071525437781,1.7633529901504517,15.628549933433533,0.01642073492651306,0.014327860185426089
13,23.815218329429626,250.36826145648956,0.6564926181889246,0.9999526233347813,auto,5,minkowski,50,distance,"{'metric': 'minkowski', 'leaf_size': 5, 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 50}",13,0.6368061683139586,0.9999170905903743,0.6761795344044439,0.9999881560791885,2.3835264444351196,13.618012547492981,0.019686683043861782,3.5532744407096306e-05
